participant_id,group,quiz_score
1,Quiet room,83.8
2,Quiet room,80.1
3,Quiet room,69.6
4,Quiet room,82.8
5,Quiet room,81.4
6,Quiet room,94.4
7,Quiet room,92.5
8,Quiet room,87.6
9,Quiet room,98.3
10,Quiet room,93.2
11,Quiet room,86.8
12,Quiet room,71.5
13,Quiet room,78.3
14,Quiet room,84.5
15,Quiet room,76.7
16,Quiet room,90.1
17,Quiet room,82.1
18,Quiet room,84.6
19,Quiet room,80.1
20,Quiet room,93.7
21,Quiet room,79.2
22,Quiet room,87.1
23,Quiet room,93.5
24,Quiet room,89.7
25,Coffee shop,72.3
26,Coffee shop,82.3
27,Coffee shop,72.6
28,Coffee shop,85.3
29,Coffee shop,77.3
30,Coffee shop,73.2
31,Coffee shop,78.8
32,Coffee shop,83.1
33,Coffee shop,78.4
34,Coffee shop,73.9
35,Coffee shop,79.6
36,Coffee shop,82.4
37,Coffee shop,78.0
38,Coffee shop,87.6
39,Coffee shop,72.2
40,Coffee shop,78.9
41,Coffee shop,77.7
42,Coffee shop,77.1
43,Coffee shop,84.2
44,Coffee shop,70.1
45,Coffee shop,80.8
46,Coffee shop,80.2
47,Coffee shop,78.0
48,Coffee shop,64.7
