audio_condition,errors_detected
silence,28.7
silence,26.8
silence,29.2
silence,31.9
silence,26.5
silence,26.5
silence,31.9
silence,29.6
silence,25.7
silence,28.9
silence,25.8
silence,25.8
silence,27.9
silence,21.3
silence,21.9
silence,25.5
silence,24.1
silence,28.2
silence,24.4
silence,23.0
silence,31.7
silence,26.5
silence,27.4
silence,22.8
instrumental,26.6
instrumental,28.5
instrumental,24.7
instrumental,29.3
instrumental,26.4
instrumental,27.3
instrumental,26.4
instrumental,33.8
instrumental,28.2
instrumental,25.0
instrumental,30.7
instrumental,24.5
instrumental,28.8
instrumental,22.3
instrumental,24.2
instrumental,28.8
instrumental,30.4
instrumental,28.7
instrumental,27.9
instrumental,27.3
instrumental,23.8
instrumental,26.0
instrumental,26.8
instrumental,31.4
lyrics,24.3
lyrics,17.6
lyrics,24.2
lyrics,22.0
lyrics,21.0
lyrics,25.2
lyrics,26.5
lyrics,26.2
lyrics,20.5
lyrics,22.2
lyrics,24.3
lyrics,26.3
lyrics,21.7
lyrics,22.6
lyrics,19.7
lyrics,19.4
lyrics,25.8
lyrics,27.5
lyrics,23.0
lyrics,26.4
lyrics,24.4
lyrics,21.1
lyrics,24.4
lyrics,28.1
