id,group,memory_score
1,Silence,81
2,Silence,82
3,Silence,72
4,Silence,67
5,Silence,64
6,Silence,72
7,Silence,65
8,Silence,62
9,Silence,73
10,Silence,73
11,Silence,76
12,Silence,66
13,Silence,72
14,Silence,72
15,Silence,61
16,Silence,76
17,Silence,74
18,Silence,89
19,Silence,73
20,Silence,71
21,Silence,81
22,Silence,73
23,Silence,78
24,Silence,69
25,Silence,74
26,Music,85
27,Music,83
28,Music,79
29,Music,70
30,Music,81
31,Music,79
32,Music,83
33,Music,80
34,Music,86
35,Music,78
36,Music,79
37,Music,83
38,Music,70
39,Music,75
40,Music,74
41,Music,92
42,Music,77
43,Music,83
44,Music,82
45,Music,76
46,Music,67
47,Music,85
48,Music,75
49,Music,83
50,Music,69
