participant_id,temperature_condition,reasoning_score
1,cool,84
2,cool,78
3,cool,79
4,cool,62
5,cool,96
6,cool,91
7,cool,79
8,cool,88
9,cool,84
10,cool,78
11,cool,90
12,cool,80
13,cool,79
14,cool,76
15,cool,86
16,cool,81
17,cool,86
18,cool,77
19,cool,83
20,cool,75
21,cool,89
22,cool,84
23,cool,85
24,cool,85
25,cool,74
26,cool,88
27,cool,98
28,cool,69
29,cool,68
30,cool,70
31,cool,89
32,cool,83
33,cool,91
34,cool,88
35,cool,84
36,cool,84
37,cool,81
38,cool,89
39,cool,73
40,cool,79
41,comfortable,81
42,comfortable,93
43,comfortable,73
44,comfortable,70
45,comfortable,74
46,comfortable,87
47,comfortable,77
48,comfortable,90
49,comfortable,64
50,comfortable,88
51,comfortable,87
52,comfortable,68
53,comfortable,80
54,comfortable,89
55,comfortable,80
56,comfortable,87
57,comfortable,98
58,comfortable,81
59,comfortable,77
60,comfortable,73
61,comfortable,84
62,comfortable,77
63,comfortable,78
64,comfortable,78
65,comfortable,84
66,comfortable,70
67,comfortable,67
68,comfortable,60
69,comfortable,89
70,comfortable,80
71,comfortable,91
72,comfortable,79
73,comfortable,73
74,comfortable,83
75,comfortable,78
76,comfortable,69
77,comfortable,72
78,comfortable,93
79,comfortable,82
80,comfortable,82
81,warm,70
82,warm,66
83,warm,79
84,warm,71
85,warm,66
86,warm,71
87,warm,65
88,warm,74
89,warm,81
90,warm,65
91,warm,83
92,warm,67
93,warm,73
94,warm,65
95,warm,70
96,warm,72
97,warm,69
98,warm,66
99,warm,67
100,warm,65
101,warm,59
102,warm,70
103,warm,75
104,warm,79
105,warm,77
106,warm,92
107,warm,75
108,warm,68
109,warm,87
110,warm,64
111,warm,80
112,warm,64
113,warm,75
114,warm,56
115,warm,79
116,warm,71
117,warm,64
118,warm,85
119,warm,78
120,warm,72
